region;price;year;manufacturer;model;condition;cylinders;fuel;transmission;type;paint_color;state
fresno / madera;7700;2010;hyundai;elantra gls;good;4 cylinders;gas;automatic;sedan;silver;ca
humboldt county;7700;2009;bmw;x5;excellent;6 cylinders;gas;automatic;SUV;grey;ca
los angeles;7700;2010;honda;civic;excellent;4 cylinders;gas;automatic;coupe;white;ca
los angeles;7700;2010;honda;civic;excellent;4 cylinders;gas;automatic;coupe;white;ca
fayetteville;7675;2009;chevrolet;equinox;good;6 cylinders;gas;automatic;SUV;grey;ar
tucson;7650;2007;gmc;yukon sle;like new;8 cylinders;gas;automatic;SUV;white;az
jonesboro;7650;2007;chevrolet;silverado ext cab;good;8 cylinders;gas;automatic;truck;brown;ar
jonesboro;7650;2014;toyota;camry le;good;4 cylinders;gas;automatic;sedan;silver;ar
tucson;7600;2017;ford;focus slt;like new;4 cylinders;gas;automatic;sedan;red;az
gold country;7600;2009;subaru;legacy gt;excellent;4 cylinders;gas;automatic;sedan;grey;ca
birmingham;7500;2012;chevrolet;silverado;excellent;6 cylinders;gas;automatic;truck;white;al
birmingham;7500;2011;kia;soul;excellent;4 cylinders;gas;automatic;SUV;silver;al
birmingham;7500;2004;gmc;sierra;good;8 cylinders;gas;automatic;pickup;brown;al
florence / muscle shoals;7500;2012;chrysler;town and country;good;6 cylinders;gas;automatic;van;black;al
huntsville / decatur;7500;2008;chrysler;aspen;like new;8 cylinders;gas;automatic;SUV;white;al
huntsville / decatur;7500;2013;fiat;500;excellent;4 cylinders;gas;manual;hatchback;black;al
huntsville / decatur;7500;2013;toyota;prius;good;4 cylinders;gas;automatic;hatchback;blue;al
huntsville / decatur;7500;2014;volkswagen;passat se;good;4 cylinders;gas;automatic;sedan;grey;al
huntsville / decatur;7500;2013;subaru;legacy;good;4 cylinders;gas;automatic;sedan;blue;al
mobile;7500;2000;toyota;4runner;good;6 cylinders;gas;automatic;SUV;silver;al
mobile;7500;2007;gmc;sierra;fair;8 cylinders;gas;automatic;pickup;red;al
tuscaloosa;7500;1968;chevrolet;caprice;good;8 cylinders;gas;automatic;sedan;green;al
anchorage / mat-su;7500;2011;mazda;3 i sport;excellent;4 cylinders;gas;automatic;sedan;silver;ak
flagstaff / sedona;7500;2000;ford;excursion;excellent;10 cylinders;gas;automatic;SUV;black;az
flagstaff / sedona;7500;2008;dodge;nitro 4x4;excellent;4 cylinders;gas;automatic;hatchback;silver;az
mohave county;7500;1972;ford;f-250;fair;8 cylinders;gas;automatic;pickup;yellow;az
mohave county;7500;1986;chevrolet;k5 blazer;good;8 cylinders;gas;automatic;SUV;red;az
mohave county;7500;1989;chevrolet;s-10 blazer;excellent;6 cylinders;gas;automatic;SUV;white;az
mohave county;7500;1999;ford;f350;good;8 cylinders;diesel;manual;pickup;white;az
mohave county;7500;1999;ford;f350 super duty;good;8 cylinders;diesel;manual;truck;white;az
phoenix;7500;2012;ford;f-150;good;8 cylinders;gas;automatic;pickup;white;az
phoenix;7500;2005;lincoln;navigator;good;8 cylinders;gas;automatic;SUV;grey;az
phoenix;7500;1966;ford;f100;good;8 cylinders;gas;automatic;truck;grey;az
phoenix;7500;2010;bmw;528i xdrive;excellent;6 cylinders;gas;automatic;sedan;black;az
phoenix;7500;2000;ford;excursion;excellent;10 cylinders;gas;automatic;SUV;black;az
phoenix;7500;2001;ram;1500;good;8 cylinders;gas;automatic;truck;silver;az
phoenix;7500;2011;gmc;box truck;good;8 cylinders;gas;automatic;other;yellow;az
phoenix;7500;2012;ram;1500;excellent;8 cylinders;gas;automatic;truck;red;az
phoenix;7500;2008;chevrolet;trailblazer ls;excellent;6 cylinders;gas;automatic;SUV;silver;az
phoenix;7500;2006;ford;e350;like new;8 cylinders;gas;automatic;wagon;white;az
phoenix;7500;2012;honda;civic lx;excellent;4 cylinders;gas;automatic;sedan;silver;az
phoenix;7500;2002;ford;f-150;good;8 cylinders;gas;automatic;truck;white;az
phoenix;7500;2014;ford;focus se hatchback;excellent;4 cylinders;gas;automatic;hatchback;red;az
phoenix;7500;2005;mercedes-benz;benz;like new;6 cylinders;gas;automatic;wagon;red;az
sierra vista;7500;2008;toyota;rav4;like new;4 cylinders;gas;automatic;SUV;white;az
sierra vista;7500;2005;lexus;rx 330;like new;6 cylinders;gas;automatic;SUV;silver;az
tucson;7500;2000;ford;excursion;excellent;10 cylinders;gas;automatic;SUV;black;az
tucson;7500;1988;chevrolet;corvette;good;8 cylinders;gas;automatic;convertible;white;az
tucson;7500;2005;ford;mustang;excellent;6 cylinders;gas;manual;coupe;black;az
tucson;7500;2008;lincoln;navigator l;good;8 cylinders;gas;automatic;SUV;white;az
tucson;7500;2010;lexus;es 350;excellent;6 cylinders;gas;automatic;sedan;silver;az
tucson;7500;2006;ford;mustang;excellent;6 cylinders;gas;automatic;convertible;white;az
tucson;7500;2019;chevrolet;spark 1lt;excellent;4 cylinders;gas;automatic;hatchback;blue;az
tucson;7500;1970;volkswagen;karmann ghia;good;4 cylinders;gas;manual;coupe;silver;az
yuma;7500;2005;cadillac;escalade ext;good;8 cylinders;gas;automatic;SUV;black;az
fayetteville;7500;2012;ford;escape limited;excellent;6 cylinders;gas;automatic;SUV;silver;ar
fayetteville;7500;2011;gmc;terrain sle;like new;4 cylinders;gas;automatic;SUV;black;ar
fayetteville;7500;2012;subaru;outback;good;4 cylinders;gas;automatic;wagon;silver;ar
fayetteville;7500;2011;chevrolet;equinox lt;like new;4 cylinders;gas;automatic;SUV;silver;ar
fayetteville;7500;2010;hyundai;genesis coupe;good;6 cylinders;gas;manual;coupe;blue;ar
fayetteville;7500;2012;ford;escape limited;excellent;6 cylinders;gas;automatic;SUV;grey;ar
fayetteville;7500;2011;chevrolet;equinox lt;like new;4 cylinders;gas;automatic;SUV;silver;ar
fayetteville;7500;2012;ford;escape limited;excellent;6 cylinders;gas;automatic;SUV;silver;ar
little rock;7500;2010;honda;cr-v;good;4 cylinders;gas;automatic;SUV;blue;ar
little rock;7500;2006;toyota;rav4;excellent;4 cylinders;gas;automatic;SUV;red;ar
little rock;7500;2010;honda;cr-v;good;4 cylinders;gas;automatic;SUV;blue;ar
little rock;7500;1986;chevrolet;c10;good;8 cylinders;gas;automatic;pickup;red;ar
little rock;7500;1965;jeep;j200 gladiator;good;6 cylinders;gas;manual;truck;green;ar
texarkana;7500;2005;ford;f-250;good;8 cylinders;diesel;automatic;truck;black;ar
bakersfield;7500;2009;gmc;acadia;excellent;6 cylinders;gas;automatic;wagon;white;ca
bakersfield;7500;2003;acura;cl type s;good;6 cylinders;gas;manual;coupe;silver;ca
chico;7500;2012;ford;escape xlt;good;4 cylinders;gas;automatic;SUV;black;ca
chico;7500;2002;gmc;sierra 1500;good;8 cylinders;gas;automatic;pickup;red;ca
chico;7500;2007;honda;civic;excellent;4 cylinders;gas;automatic;coupe;black;ca
fresno / madera;7500;2006;mercedes-benz;c-class;good;8 cylinders;gas;automatic;coupe;black;ca
fresno / madera;7500;2010;hyundai;elantra gls;excellent;4 cylinders;gas;automatic;sedan;silver;ca
fresno / madera;7500;2012;volkswagen;jetta;excellent;5 cylinders;gas;automatic;sedan;silver;ca
fresno / madera;7500;2010;hyundai;elantra;like new;4 cylinders;gas;automatic;sedan;silver;ca
fresno / madera;7500;2007;chevrolet;silverado;good;8 cylinders;gas;automatic;truck;brown;ca
fresno / madera;7500;1993;ford;f150 8ft;excellent;8 cylinders;gas;automatic;truck;white;ca
fresno / madera;7500;1991;toyota;land cruiser;good;6 cylinders;gas;automatic;SUV;white;ca
gold country;7500;2011;toyota;scion xb;excellent;4 cylinders;gas;automatic;SUV;white;ca
gold country;7500;2007;ford;expedition;excellent;8 cylinders;gas;automatic;SUV;black;ca
gold country;7500;2006;chrysler;300c;good;8 cylinders;gas;automatic;sedan;green;ca
humboldt county;7500;2002;bmw;330xi;excellent;6 cylinders;gas;manual;sedan;custom;ca
imperial county;7500;2015;nissan;sentra;like new;4 cylinders;gas;automatic;sedan;black;ca
inland empire;7500;2010;toyota;scion tc;excellent;4 cylinders;gas;manual;coupe;blue;ca
inland empire;7500;2003;ford;ranger edge;good;6 cylinders;gas;automatic;truck;white;ca
inland empire;7500;2014;ford;fusion;excellent;4 cylinders;gas;automatic;coupe;grey;ca
inland empire;7500;1989;chevrolet;corvette;good;8 cylinders;gas;automatic;convertible;red;ca
inland empire;7500;2002;bmw;325i;like new;6 cylinders;gas;automatic;sedan;white;ca
inland empire;7500;2009;ford;crown victoria;excellent;8 cylinders;gas;automatic;sedan;black;ca
inland empire;7500;2010;toyota;scion tc;excellent;4 cylinders;gas;manual;coupe;blue;ca
los angeles;7500;2012;volkswagen;jetta;like new;5 cylinders;gas;manual;sedan;silver;ca
los angeles;7500;1965;ford;250;fair;8 cylinders;gas;manual;truck;white;ca
los angeles;7500;2004;gmc;serria;excellent;8 cylinders;gas;automatic;truck;brown;ca
los angeles;7500;2012;honda;accord se;excellent;4 cylinders;gas;automatic;sedan;grey;ca
los angeles;7500;2007;bmw;x3;excellent;6 cylinders;gas;automatic;SUV;brown;ca
los angeles;7500;2011;volkswagen;gti;excellent;4 cylinders;gas;manual;hatchback;red;ca
los angeles;7500;2013;ford;focus;excellent;4 cylinders;gas;automatic;hatchback;red;ca
los angeles;7500;1996;jeep;cherokee xj;good;6 cylinders;gas;automatic;SUV;red;ca
los angeles;7500;2007;infiniti;g35 coupe sport;good;6 cylinders;gas;automatic;coupe;white;ca
mobile;7499;2011;hyundai;elantra limited;excellent;4 cylinders;gas;automatic;sedan;white;al
phoenix;7499;2007;cadillac;dts;excellent;8 cylinders;gas;automatic;sedan;silver;az
phoenix;7499;2009;bmw;328i;excellent;6 cylinders;gas;automatic;sedan;black;az
tucson;7499;2017;hyundai;elantra se 4dr sedan;excellent;4 cylinders;gas;automatic;sedan;red;az
mohave county;7495;2012;toyota;camry le;like new;4 cylinders;hybrid;automatic;sedan;blue;az
sierra vista;7495;2015;chevrolet;cruze;excellent;4 cylinders;gas;manual;sedan;red;az
tucson;7495;2010;toyota;prius;good;4 cylinders;hybrid;automatic;sedan;red;az
tucson;7495;2010;nissan;xterra;good;6 cylinders;gas;automatic;SUV;silver;az
fresno / madera;7495;2005;honda;element;good;4 cylinders;gas;manual;SUV;green;ca
tucson;7490;2008;mercedes-benz;c-class;excellent;6 cylinders;gas;automatic;sedan;silver;az
tucson;7490;2008;mercedes-benz;c-class;excellent;6 cylinders;gas;automatic;sedan;silver;az
tucson;7490;2011;honda;pilot;excellent;6 cylinders;gas;automatic;SUV;grey;az
little rock;7490;2007;toyota;camry;good;4 cylinders;gas;automatic;sedan;red;ar
huntsville / decatur;7477;2016;kia;forte lx;excellent;4 cylinders;gas;automatic;sedan;grey;al
gold country;7475;2000;toyota;tundra;excellent;8 cylinders;gas;automatic;pickup;white;ca
prescott;7474;2014;nissan;versa note;like new;4 cylinders;gas;automatic;hatchback;silver;az
birmingham;7450;2004;toyota;4runner sr5;like new;6 cylinders;gas;automatic;SUV;grey;al
flagstaff / sedona;7450;2010;honda;accord;excellent;6 cylinders;gas;automatic;sedan;grey;az
tucson;7450;2011;nissan;maxima sv;like new;6 cylinders;gas;automatic;sedan;red;az
chico;7450;2006;cadillac;escalade esv platinum;good;8 cylinders;gas;automatic;SUV;silver;ca
fresno / madera;7450;2013;chevrolet;cruze;excellent;4 cylinders;gas;automatic;sedan;silver;ca
fresno / madera;7450;2012;chevrolet;malibu;excellent;4 cylinders;gas;automatic;sedan;white;ca
fresno / madera;7450;2015;chevrolet;sonic;excellent;4 cylinders;gas;automatic;sedan;white;ca
fresno / madera;7450;2013;chevrolet;equinox;excellent;4 cylinders;gas;automatic;SUV;grey;ca
fresno / madera;7450;2013;chevrolet;cruze;excellent;4 cylinders;gas;automatic;sedan;silver;ca
inland empire;7450;2011;bmw;328i;excellent;6 cylinders;gas;automatic;sedan;white;ca
los angeles;7450;2007;toyota;sequoia;good;8 cylinders;gas;automatic;SUV;silver;ca
birmingham;7400;2007;lexus;rx350;good;6 cylinders;gas;automatic;SUV;white;al
phoenix;7400;1998;ford;mustang;excellent;6 cylinders;gas;automatic;convertible;red;az
prescott;7400;1969;lincoln;continental mk iii;good;8 cylinders;gas;automatic;coupe;black;az
fresno / madera;7400;1985;chevrolet;corvette;excellent;8 cylinders;gas;automatic;hatchback;blue;ca
inland empire;7400;2009;mercedes-benz;benz c300;excellent;6 cylinders;gas;automatic;sedan;black;ca
tucson;7395;2010;honda;fit;good;4 cylinders;gas;automatic;sedan;silver;az
jonesboro;7350;2013;chrysler;200 limited;good;6 cylinders;gas;automatic;sedan;grey;ar
birmingham;7300;2007;lexus;rx350;good;6 cylinders;gas;automatic;SUV;white;al
tucson;7300;2010;lexus;es 350.;excellent;6 cylinders;gas;automatic;sedan;silver;az
humboldt county;7300;2006;honda;civic lx;like new;4 cylinders;gas;automatic;sedan;silver;ca
los angeles;7300;2006;toyota;tacoma;like new;4 cylinders;gas;automatic;pickup;grey;ca
phoenix;7295;2008;cadillac;cts;like new;6 cylinders;gas;automatic;sedan;red;az
tucson;7295;2006;nissan;armada;good;8 cylinders;gas;automatic;SUV;silver;az
little rock;7295;2011;honda;accord ex-l;like new;6 cylinders;gas;automatic;sedan;grey;ar
phoenix;7259;2015;toyota;prius plug in;excellent;4 cylinders;hybrid;automatic;hatchback;white;az
chico;7250;1971;ford;f250;excellent;8 cylinders;gas;manual;pickup;white;ca
chico;7250;1971;ford;f250;excellent;8 cylinders;gas;manual;pickup;white;ca
birmingham;7200;2007;toyota;highlander;excellent;4 cylinders;gas;automatic;SUV;silver;al
birmingham;7200;1993;pontiac;firebird trans am;good;8 cylinders;gas;automatic;coupe;green;al
huntsville / decatur;7200;2010;honda;accord ex;good;6 cylinders;gas;automatic;sedan;red;al
flagstaff / sedona;7200;2012;kia;sedona;excellent;6 cylinders;gas;automatic;van;silver;az
phoenix;7200;2007;infiniti;g35x;like new;6 cylinders;gas;automatic;sedan;silver;az
fayetteville;7200;2008;toyota;scion xb;excellent;4 cylinders;gas;automatic;SUV;white;ar
fayetteville;7200;2011;toyota;corolla le;good;4 cylinders;gas;automatic;sedan;black;ar
little rock;7200;2008;honda;accord;excellent;4 cylinders;gas;automatic;sedan;brown;ar
chico;7200;1978;mercedes-benz;300d;good;5 cylinders;diesel;automatic;sedan;white;ca
los angeles;7200;2004;lexus;es330;excellent;6 cylinders;gas;automatic;sedan;silver;ca
los angeles;7200;2015;fiat;500e;excellent;other;electric;automatic;hatchback;grey;ca
tucson;7190;2012;chevrolet;impala;excellent;6 cylinders;gas;automatic;sedan;red;az
chico;7150;2014;nissan;sentra sv;excellent;4 cylinders;gas;automatic;sedan;grey;ca
fayetteville;7100;2008;honda;accord;excellent;6 cylinders;gas;automatic;sedan;grey;ar
inland empire;7100;2004;gmc;sierra 1500;like new;8 cylinders;gas;automatic;truck;brown;ca
birmingham;7000;2004;jaguar;xjr s;good;8 cylinders;gas;automatic;sedan;red;al
dothan;7000;2013;ford;fusion se;excellent;4 cylinders;gas;automatic;sedan;blue;al
gadsden-anniston;7000;2011;ford;escape;good;4 cylinders;gas;automatic;SUV;blue;al
huntsville / decatur;7000;2001;ford;f250 super duty;good;8 cylinders;gas;automatic;truck;white;al
huntsville / decatur;7000;1979;ford;thunderbird;excellent;8 cylinders;gas;automatic;sedan;red;al
huntsville / decatur;7000;1979;toyota;corolla;good;4 cylinders;gas;manual;hatchback;orange;al
tuscaloosa;7000;1989;ford;bronco;good;6 cylinders;gas;automatic;other;green;al
anchorage / mat-su;7000;2006;volkswagen;new beetle cabrio;excellent;5 cylinders;gas;automatic;convertible;blue;ak
anchorage / mat-su;7000;2008;honda;accord ex;excellent;6 cylinders;gas;automatic;sedan;silver;ak
mohave county;7000;1984;jeep;cj7 4x4;good;4 cylinders;gas;manual;offroad;red;az
mohave county;7000;1980;chevrolet;corvette;excellent;8 cylinders;gas;automatic;coupe;white;az
phoenix;7000;2002;ford;f-150 v8 supercrew;like new;8 cylinders;gas;manual;truck;grey;az
phoenix;7000;2001;ford;f150 supercrew cab xlt;good;8 cylinders;gas;automatic;truck;silver;az
phoenix;7000;2003;volkswagen;jetta;excellent;4 cylinders;gas;automatic;sedan;silver;az
phoenix;7000;2008;ram;1500;excellent;8 cylinders;gas;automatic;truck;white;az
phoenix;7000;1963;ford;f-100;good;8 cylinders;gas;manual;truck;green;az
phoenix;7000;1989;ford;f-150;good;6 cylinders;gas;manual;truck;white;az
phoenix;7000;2006;chevrolet;express cargo van;good;8 cylinders;gas;automatic;van;white;az
phoenix;7000;1995;jeep;wrangler;good;4 cylinders;gas;manual;offroad;white;az
phoenix;7000;2008;infiniti;g37;excellent;6 cylinders;gas;automatic;coupe;red;az
phoenix;7000;2006;cadillac;sts;like new;8 cylinders;gas;automatic;sedan;grey;az
prescott;7000;1948;chevrolet;truck;good;6 cylinders;gas;manual;truck;green;az
prescott;7000;1998;gmc;sierra 1500;fair;8 cylinders;gas;automatic;truck;black;az
show low;7000;2009;chrysler;sebring;good;4 cylinders;gas;automatic;convertible;white;az
show low;7000;1966;ford;f250;good;8 cylinders;gas;manual;truck;brown;az
tucson;7000;2011;hyundai;santa fe gls;good;4 cylinders;gas;automatic;SUV;brown;az
tucson;7000;2007;ford;fusion awd v6;like new;6 cylinders;gas;automatic;sedan;silver;az
tucson;7000;1989;ford;f-150;good;6 cylinders;gas;manual;truck;white;az
tucson;7000;2006;mercedes-benz;benz c280;like new;6 cylinders;gas;automatic;sedan;white;az
fayetteville;7000;2008;mazda;cx-9;excellent;6 cylinders;gas;automatic;SUV;grey;ar
fayetteville;7000;2012;toyota;camry;good;4 cylinders;gas;automatic;sedan;grey;ar
little rock;7000;2006;bmw;x3;excellent;6 cylinders;gas;automatic;SUV;silver;ar
little rock;7000;2017;jaguar;xe;salvage;8 cylinders;gas;automatic;sedan;grey;ar
bakersfield;7000;2007;chrysler;300;good;6 cylinders;gas;automatic;sedan;blue;ca
bakersfield;7000;2009;infiniti;g37 coupe;salvage;6 cylinders;gas;automatic;coupe;blue;ca
chico;7000;2005;subaru;forester;excellent;5 cylinders;gas;manual;SUV;silver;ca
fresno / madera;7000;2001;bmw;z3;excellent;6 cylinders;gas;manual;convertible;blue;ca
hanford-corcoran;7000;2007;honda;accord;good;6 cylinders;gas;automatic;sedan;grey;ca
humboldt county;7000;2008;honda;accord;good;6 cylinders;gas;automatic;coupe;red;ca
humboldt county;7000;2003;ford;mustang gt deluxe coupe;good;8 cylinders;gas;manual;coupe;black;ca
inland empire;7000;2007;toyota;rav4;excellent;6 cylinders;gas;automatic;SUV;blue;ca
inland empire;7000;2007;gmc;yukon xl denali;good;8 cylinders;gas;automatic;SUV;black;ca
los angeles;7000;2005;dodge;magnum sxt;excellent;6 cylinders;gas;automatic;wagon;grey;ca
los angeles;7000;2012;mini;cooper s countryman;excellent;4 cylinders;gas;automatic;offroad;blue;ca
los angeles;7000;2011;dodge;durango;excellent;6 cylinders;gas;automatic;SUV;black;ca
los angeles;7000;2007;mercedes-benz;benz e350 bluetec;good;6 cylinders;diesel;automatic;sedan;black;ca
los angeles;7000;2011;mercedes-benz;benz gl450;fair;6 cylinders;gas;automatic;SUV;white;ca
huntsville / decatur;6999;2012;honda;civic;good;4 cylinders;gas;automatic;sedan;brown;al
anchorage / mat-su;6999;2006;dodge;dakota;good;6 cylinders;gas;manual;truck;blue;ak
southeast alaska;6999;2012;nissan;leaf;good;other;electric;automatic;hatchback;black;ak
phoenix;6999;2007;ford;edge se;good;6 cylinders;gas;automatic;SUV;white;az
phoenix;6999;2007;pontiac;vibe sport wagon;good;4 cylinders;gas;automatic;hatchback;red;az
phoenix;6999;2012;ford;focus sel hatchback;good;4 cylinders;gas;automatic;hatchback;silver;az
phoenix;6999;2006;lincoln;mark lt base;good;8 cylinders;gas;automatic;truck;black;az
phoenix;6999;2006;lincoln;mark lt base;good;8 cylinders;gas;automatic;truck;black;az
sierra vista;6999;2009;kia;sportage lx;good;6 cylinders;gas;automatic;other;brown;az
tucson;6999;2011;kia;optima;excellent;4 cylinders;gas;automatic;sedan;brown;az
tucson;6999;2014;honda;accord lx sedan 4d;excellent;4 cylinders;gas;automatic;sedan;grey;az
tucson;6999;2011;kia;optima;excellent;4 cylinders;gas;automatic;sedan;brown;az
texarkana;6999;2004;honda;accord ex-l;good;6 cylinders;gas;automatic;sedan;grey;ar
bakersfield;6999;2009;toyota;camry se;excellent;4 cylinders;gas;automatic;sedan;blue;ca
fresno / madera;6999;2012;ford;fiesta;excellent;4 cylinders;gas;automatic;hatchback;silver;ca
inland empire;6999;2002;bmw;330ci;excellent;6 cylinders;gas;automatic;convertible;silver;ca
inland empire;6999;2007;toyota;sequoia limited;excellent;8 cylinders;gas;automatic;SUV;silver;ca
inland empire;6999;2010;subaru;outback limited;excellent;6 cylinders;gas;automatic;wagon;black;ca
inland empire;6999;2007;hyundai;veracruz limited;excellent;6 cylinders;gas;automatic;SUV;blue;ca
los angeles;6999;2017;hyundai;accent;good;4 cylinders;gas;automatic;hatchback;white;ca
sierra vista;6998;2008;toyota;corolla;good;4 cylinders;gas;automatic;sedan;silver;az
bakersfield;6998;2009;ford;focus;excellent;4 cylinders;gas;automatic;sedan;blue;ca
bakersfield;6998;2002;chevrolet;trailblazer;excellent;6 cylinders;gas;automatic;SUV;red;ca
fresno / madera;6998;2014;nissan;sentra;like new;4 cylinders;gas;automatic;sedan;black;ca
birmingham;6995;2011;volkswagen;jetta sel;excellent;5 cylinders;gas;automatic;sedan;black;al
birmingham;6995;2011;volkswagen;jetta sel;excellent;5 cylinders;gas;automatic;sedan;black;al
mohave county;6995;2012;toyota;camry le;like new;4 cylinders;hybrid;automatic;sedan;blue;az
mohave county;6995;2007;chevrolet;hhr ls;good;4 cylinders;gas;automatic;sedan;orange;az
phoenix;6995;2004;ford;explorer;excellent;6 cylinders;gas;automatic;SUV;white;az
phoenix;6995;2006;volkswagen;jetta 2.0 tdi;like new;4 cylinders;diesel;automatic;sedan;red;az
phoenix;6995;2012;ford;f150;good;6 cylinders;gas;automatic;pickup;white;az
phoenix;6995;2004;ford;ranger;good;6 cylinders;gas;automatic;truck;white;az
tucson;6995;2012;ford;f150;good;6 cylinders;gas;automatic;pickup;white;az
tucson;6995;2004;ford;ranger;good;6 cylinders;gas;automatic;truck;white;az
tucson;6995;2013;dodge;grand caravan sxt;good;6 cylinders;gas;automatic;mini-van;white;az
tucson;6995;2016;ford;focus s;excellent;4 cylinders;gas;automatic;sedan;black;az
tucson;6995;2016;chevrolet;cruze limited;excellent;4 cylinders;gas;automatic;sedan;white;az
tucson;6995;2013;dodge;dart;excellent;4 cylinders;gas;automatic;sedan;black;az
yuma;6995;2007;pontiac;soltice;excellent;4 cylinders;gas;automatic;convertible;silver;az
yuma;6995;2007;pontiac;solstice convertible;excellent;4 cylinders;gas;automatic;convertible;silver;az
fayetteville;6995;2013;hyundai;elantra;excellent;4 cylinders;gas;automatic;sedan;black;ar
fayetteville;6995;2008;acura;rl sh-awd;good;6 cylinders;gas;automatic;sedan;blue;ar
little rock;6995;2004;ford;f-150;good;8 cylinders;gas;automatic;pickup;red;ar
bakersfield;6995;2013;dodge;avenger;good;6 cylinders;gas;automatic;sedan;blue;ca
bakersfield;6995;2016;dodge;dart sxt;good;4 cylinders;gas;automatic;sedan;grey;ca
bakersfield;6995;2012;chevrolet;cruze;excellent;4 cylinders;gas;manual;sedan;black;ca
bakersfield;6995;2009;toyota;sienna;good;6 cylinders;gas;automatic;wagon;custom;ca
chico;6995;2007;dodge;durango;excellent;8 cylinders;gas;automatic;SUV;grey;ca
chico;6995;2009;dodge;caliber r/t;excellent;4 cylinders;gas;automatic;wagon;red;ca
chico;6995;2008;honda;civic lx;excellent;4 cylinders;gas;automatic;sedan;silver;ca
fresno / madera;6995;2010;honda;accord ex-l 2.4;excellent;4 cylinders;gas;manual;sedan;silver;ca
fresno / madera;6995;2007;dodge;durango;excellent;8 cylinders;gas;automatic;SUV;grey;ca
fresno / madera;6995;2008;toyota;corolla le;excellent;4 cylinders;gas;automatic;sedan;white;ca
gold country;6995;2011;toyota;prius two;excellent;4 cylinders;hybrid;automatic;hatchback;white;ca
inland empire;6995;2008;chevrolet;trailblazer;excellent;6 cylinders;gas;automatic;SUV;black;ca
inland empire;6995;2015;toyota;prius;good;4 cylinders;hybrid;automatic;hatchback;silver;ca
los angeles;6995;2015;toyota;prius;excellent;4 cylinders;hybrid;automatic;hatchback;silver;ca
tucson;6990;2006;saturn;vue;excellent;6 cylinders;gas;automatic;SUV;green;az
tucson;6990;2004;lexus;rx 330;excellent;6 cylinders;gas;automatic;SUV;silver;az
chico;6990;2008;chevrolet;malibu lt 4dr sedan w;excellent;6 cylinders;gas;automatic;sedan;blue;ca
los angeles;6990;2012;hyundai;sonata gls;excellent;4 cylinders;gas;automatic;sedan;silver;ca
los angeles;6990;2006;mini;hardtop cooper hatchback;like new;4 cylinders;gas;manual;hatchback;purple;ca
mobile;6988;2005;toyota;4runner;good;8 cylinders;gas;automatic;SUV;grey;al
inland empire;6980;2012;toyota;prius;excellent;4 cylinders;hybrid;automatic;SUV;grey;ca
huntsville / decatur;6977;2011;acura;tsx w/tech;excellent;4 cylinders;gas;automatic;sedan;black;al
bakersfield;6975;2006;chevrolet;tahoe;excellent;8 cylinders;gas;automatic;SUV;silver;ca
bakersfield;6975;2014;kia;forte;excellent;4 cylinders;gas;automatic;sedan;grey;ca
bakersfield;6975;2009;toyota;camry;excellent;4 cylinders;gas;automatic;sedan;silver;ca
bakersfield;6975;2006;nissan;xterra;excellent;6 cylinders;gas;automatic;SUV;white;ca
bakersfield;6975;2013;nissan;altima;excellent;4 cylinders;gas;automatic;sedan;black;ca
hanford-corcoran;6975;2010;ford;transit connect cargo van;good;4 cylinders;gas;automatic;mini-van;white;ca
inland empire;6975;2006;chevrolet;tahoe;excellent;8 cylinders;gas;automatic;SUV;silver;ca
inland empire;6975;2014;kia;forte;excellent;4 cylinders;gas;automatic;sedan;grey;ca
inland empire;6975;2009;toyota;camry;excellent;4 cylinders;gas;automatic;sedan;silver;ca
inland empire;6975;2006;nissan;xterra;excellent;6 cylinders;gas;automatic;SUV;white;ca
los angeles;6975;2006;chevrolet;tahoe;excellent;8 cylinders;gas;automatic;SUV;silver;ca
los angeles;6975;2006;chevrolet;tahoe;excellent;8 cylinders;gas;automatic;SUV;silver;ca
los angeles;6975;2006;chevrolet;tahoe;excellent;8 cylinders;gas;automatic;SUV;silver;ca
los angeles;6975;2014;kia;forte;excellent;4 cylinders;gas;automatic;sedan;grey;ca
los angeles;6975;2014;kia;forte;excellent;4 cylinders;gas;automatic;sedan;grey;ca
los angeles;6975;2014;kia;forte;excellent;4 cylinders;gas;automatic;sedan;grey;ca
birmingham;6950;2011;volkswagen;jetta;excellent;5 cylinders;gas;automatic;sedan;silver;al
birmingham;6950;1998;ford;f150 xlt;excellent;8 cylinders;gas;automatic;truck;green;al
birmingham;6950;2008;honda;civic exl;excellent;4 cylinders;gas;automatic;sedan;silver;al
southeast alaska;6950;2006;honda;civic lx;excellent;4 cylinders;gas;manual;sedan;blue;ak
phoenix;6950;2011;ford;fusion sel;excellent;4 cylinders;gas;automatic;sedan;silver;az
phoenix;6950;2011;ford;fusion sel;excellent;4 cylinders;gas;automatic;sedan;silver;az
phoenix;6950;2012;volkswagen;cc;excellent;4 cylinders;gas;automatic;sedan;custom;az
phoenix;6950;2011;ford;fusion sel;excellent;4 cylinders;gas;automatic;sedan;silver;az
phoenix;6950;2012;volkswagen;cc;excellent;4 cylinders;gas;automatic;sedan;custom;az
fayetteville;6950;2009;ford;escape xlt;like new;4 cylinders;gas;automatic;SUV;white;ar
